,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,999.0,8.02,14.36,14.88,15.51,1.36,12.76,4.56,13.31,17.69,10.39,2.54,12.11,3.08,14.3,9.92,4.59,16.38,9.16,14.83,3.23,16.7,7.38,7.05,9.88,17.77,14.15,14.44,13.56,16.31,9.87,14.09,14.16,12.42,14.52,14.88,12.49,16.25,3.44,11.51,4.56,5.02,7.43,21.75,12.09,15.09,10.51,16.41,8.35,14.31,10.94,10.76,1.46,2.6,9.37,9.82,13.81,13.13,19.44,2.14,16.97,14.68,11.9,8.76,16.13,14.28,6.09,6.09,13.23,15.82,14.1,8.44,7.12,15.51,13.13,3.94,15.65,14.72,17.43,15.35,5.66,3.22,17.0,9.87,14.09,13.27,11.54,8.21,14.36,12.89,7.77,15.83,13.93,8.29,3.57,13.64,13.94,17.91,7.65,19.7
2,8.02,999.0,6.52,10.09,10.03,9.28,5.81,4.18,8.44,11.34,2.44,8.81,4.42,7.25,6.92,3.24,10.2,18.22,8.43,9.7,5.01,11.26,0.84,6.9,3.0,9.9,6.32,6.45,6.37,8.96,2.16,8.87,10.14,5.17,7.09,10.09,4.83,8.28,10.62,4.29,4.18,4.22,6.98,18.61,10.26,8.5,3.37,9.66,1.91,6.3,4.99,6.58,6.93,6.36,8.89,3.1,7.78,6.39,16.01,7.03,10.7,9.35,5.48,0.93,8.12,9.55,2.35,2.35,8.8,12.11,6.79,8.82,3.09,8.41,6.55,9.28,7.7,9.94,14.59,7.57,3.75,4.8,14.48,2.16,7.59,5.87,6.98,7.41,6.52,4.94,1.86,7.84,9.97,6.27,4.65,5.73,8.43,10.29,6.99,16.65
3,14.36,6.52,999.0,11.83,10.98,15.68,6.56,10.69,7.02,10.61,4.09,14.66,2.29,12.92,5.88,6.81,15.58,20.18,11.04,11.17,11.18,11.89,7.02,12.7,6.58,3.41,4.07,2.8,6.19,6.93,5.51,10.56,8.91,5.82,1.77,11.83,1.96,3.77,17.14,5.87,10.69,9.76,12.65,16.33,11.17,4.31,4.06,8.74,7.25,2.17,5.02,10.29,13.12,12.88,11.46,6.79,5.05,7.13,13.84,13.55,10.28,10.72,7.4,6.07,3.23,11.53,8.28,8.28,11.34,10.52,6.01,14.35,7.68,7.24,7.47,14.74,3.71,7.87,13.27,4.72,10.11,11.2,13.49,5.51,8.05,1.91,10.16,12.83,0.0,1.67,7.68,3.37,8.88,11.51,10.82,3.5,9.93,3.86,10.43,14.75
4,14.88,10.09,11.83,999.0,1.42,15.55,5.35,10.61,17.55,4.16,10.21,16.89,11.54,15.91,6.1,6.89,18.81,28.28,18.52,0.71,13.36,2.06,10.82,8.25,7.16,13.47,7.87,9.2,5.65,6.27,8.41,1.31,19.46,6.17,13.51,0.0,11.8,9.57,15.4,6.53,10.61,13.7,7.87,27.68,20.25,15.95,12.12,4.5,8.28,9.76,14.18,4.14,14.65,12.28,18.97,7.02,16.12,4.73,25.09,12.84,3.59,1.15,4.89,9.31,10.04,0.6,11.99,11.99,1.66,21.37,5.91,8.07,13.17,5.31,4.39,17.9,9.05,18.85,24.05,7.8,9.51,12.5,24.06,8.41,3.83,12.9,3.41,7.25,11.83,10.65,8.62,9.57,19.34,6.68,13.11,8.34,1.92,14.91,17.03,25.89
5,15.51,10.03,10.98,1.42,999.0,16.27,4.73,11.1,17.03,2.8,9.81,17.39,10.93,16.29,5.12,6.79,19.24,28.25,18.44,0.87,13.73,1.24,10.81,9.15,7.03,12.36,6.93,8.26,4.82,4.99,8.16,1.43,18.96,5.57,12.7,1.42,11.15,8.43,16.29,6.11,11.1,13.87,8.8,27.06,19.99,15.19,11.7,3.13,8.34,8.85,13.76,4.79,15.15,12.94,18.9,6.93,15.48,4.07,24.49,13.53,2.19,0.84,4.59,9.19,8.93,1.71,12.09,12.09,2.65,20.83,4.97,9.21,13.13,4.1,3.78,18.32,7.95,18.27,23.55,6.69,9.97,12.94,23.61,8.16,2.96,12.2,3.98,8.24,10.98,9.93,8.75,8.47,18.85,7.5,13.46,7.49,1.64,13.85,17.02,25.32
6,1.36,9.28,15.68,15.55,16.27,999.0,13.79,5.6,14.63,18.56,11.67,3.14,13.43,4.19,15.38,10.99,4.98,16.96,10.3,15.55,4.58,17.43,8.67,7.46,10.97,19.08,15.32,15.67,14.62,17.37,11.05,14.84,15.43,13.5,15.86,15.55,13.81,17.47,2.28,12.6,5.6,6.37,7.85,22.9,13.24,16.45,11.85,17.35,9.47,15.56,12.3,11.49,2.79,3.39,10.48,10.89,15.16,14.13,20.62,2.75,17.83,15.43,12.87,9.99,17.36,14.95,7.42,7.42,13.89,17.06,15.17,8.6,8.47,16.53,14.1,4.54,16.85,16.03,18.58,16.5,6.64,4.48,18.13,11.05,15.03,14.61,12.28,8.61,15.68,14.18,8.9,17.05,15.2,8.88,4.92,14.84,14.74,19.25,8.86,20.85
7,12.76,5.81,6.56,5.35,4.73,13.79,999.0,8.21,12.29,5.54,5.12,14.16,6.22,12.79,1.75,2.87,15.79,23.81,13.99,4.73,10.31,5.85,6.64,8.07,2.98,8.67,2.88,4.14,0.9,3.59,3.7,4.04,14.23,0.84,8.19,5.35,6.46,5.11,14.44,1.53,8.21,9.97,7.85,22.36,15.35,10.6,6.99,3.86,4.54,4.61,9.04,4.26,12.04,10.43,14.45,2.99,10.79,0.67,19.78,11.11,4.93,4.29,1.19,4.89,5.41,5.0,8.09,8.09,4.79,16.1,1.5,9.14,8.82,2.76,0.97,14.85,4.46,13.55,18.82,3.44,7.15,9.74,18.87,3.7,1.88,7.56,3.87,7.69,6.56,5.3,5.08,4.93,14.12,6.44,9.98,3.14,3.43,9.92,12.69,20.6
8,4.56,4.18,10.69,10.61,11.1,5.6,8.21,999.0,11.68,13.17,6.6,6.29,8.6,5.37,9.79,5.4,8.2,18.59,9.56,10.48,2.89,12.31,3.87,3.96,5.38,14.03,9.79,10.25,9.02,11.78,5.59,9.7,13.07,7.91,11.25,10.61,9.01,12.0,6.56,7.01,0.0,4.04,4.24,21.37,12.13,12.45,7.37,11.85,3.92,10.22,8.54,6.47,4.06,2.31,9.93,5.3,11.5,8.57,18.85,3.01,12.45,10.28,7.33,4.67,11.95,10.01,3.4,3.4,9.0,14.97,9.58,5.93,5.06,10.96,8.56,7.3,11.36,13.2,17.13,10.94,1.12,1.93,16.87,5.59,9.54,10.01,7.2,4.96,10.69,9.07,3.34,11.61,12.86,4.45,2.75,9.35,9.49,14.47,7.85,19.34
9,13.31,8.44,7.02,17.55,17.03,14.63,12.29,11.68,999.0,17.26,7.38,12.35,6.13,10.67,12.3,10.98,12.31,13.47,5.81,16.98,10.35,18.11,8.19,15.19,10.69,8.91,10.63,9.6,12.3,13.75,9.32,16.23,1.95,11.46,5.45,17.55,5.99,10.79,16.7,11.01,11.68,8.41,15.32,10.24,4.57,3.56,5.48,15.36,10.25,8.98,3.49,14.74,11.85,13.11,6.05,10.87,2.07,12.96,7.63,13.58,16.82,16.56,12.66,8.82,10.24,17.11,8.28,8.28,16.59,3.82,12.34,17.17,6.66,13.84,13.26,11.75,10.69,1.52,6.52,11.56,11.79,10.98,6.62,9.32,14.11,5.2,14.96,15.82,7.02,7.32,10.3,10.39,1.88,14.71,10.1,9.9,15.65,7.83,6.3,8.37
10,17.69,11.34,10.61,4.16,2.8,18.56,5.54,13.17,17.26,999.0,10.52,19.38,11.15,18.13,4.98,8.24,21.12,29.3,19.5,3.67,15.59,2.42,12.17,11.71,8.41,11.21,6.64,7.81,5.15,3.74,9.25,4.05,19.21,6.27,12.38,4.16,11.26,7.36,18.77,7.07,13.17,15.44,11.38,26.94,20.7,14.92,12.29,1.9,9.9,8.45,14.26,7.24,17.18,15.18,19.96,8.37,15.5,4.95,24.43,15.81,0.73,3.52,5.98,10.42,7.94,4.51,13.58,13.58,5.41,20.98,4.96,11.94,14.36,3.42,4.81,20.19,7.08,18.34,23.73,5.92,12.04,14.9,23.87,9.25,3.76,12.15,6.44,10.88,10.61,9.94,10.4,7.55,19.13,10.02,15.29,7.35,3.92,12.83,18.23,25.32
