,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,999.0,9.54,6.35,5.56,6.2,12.07,13.32,18.8,15.23,14.94,10.86,12.59,10.05,11.78,12.5,20.12,13.79,12.99,6.03,19.62,16.8,21.71,12.81,13.41,10.5,7.91,12.92,4.66,12.94,12.27,17.08,5.65,10.67,6.52,10.84,9.41,15.98,9.93,11.2,15.61,15.7,2.42,12.53,11.0,10.54,7.2,17.13,20.54,12.33,13.83,11.22,7.71,7.77,13.57,13.41,4.3,11.45,4.21,14.71,16.84,9.29,18.15,15.93,8.13,5.02,3.2,5.34,13.79,8.05,7.79,14.57,10.5,15.7,11.22,11.78,5.93,12.21,7.72,14.83,9.51,15.43,14.55,7.18,14.87,11.38,10.5,21.25,6.03,9.81,6.47,11.7,7.33,15.26,4.72,12.32,1.41,20.4,13.07,11.22,16.43
2,9.54,999.0,5.26,5.52,14.49,15.33,16.46,15.84,15.75,16.61,19.09,3.14,16.82,19.37,17.82,17.63,20.76,17.03,13.04,18.99,19.61,20.55,19.86,13.09,18.13,6.21,3.67,12.76,3.48,6.31,20.34,13.9,18.19,7.88,7.07,13.23,14.7,14.24,15.81,22.27,17.53,11.65,20.05,10.37,16.29,14.27,20.2,19.18,2.82,17.47,15.91,8.5,10.42,20.89,13.09,9.23,7.01,12.23,14.81,21.22,6.15,16.3,18.19,6.48,6.48,8.31,14.15,20.99,15.93,14.91,21.02,18.13,17.82,15.91,18.68,10.49,13.21,3.54,12.13,16.68,5.96,21.63,14.68,20.57,2.87,18.13,21.17,12.54,17.36,13.71,19.38,8.15,22.64,12.14,18.07,9.82,18.55,10.18,15.91,14.85
3,6.35,5.26,999.0,0.8,9.73,10.28,11.47,13.4,11.52,12.02,14.13,7.52,11.61,14.24,12.57,14.96,15.53,11.89,8.0,15.39,14.79,17.25,14.64,9.07,13.03,1.93,8.89,8.08,8.55,5.92,15.42,9.16,13.07,2.65,10.65,8.02,11.24,9.02,10.58,17.02,12.92,7.73,14.9,6.25,11.03,9.18,15.32,15.94,7.84,12.41,10.68,3.5,5.23,15.7,9.07,4.23,5.19,7.58,10.71,16.11,3.08,13.22,13.47,2.24,1.55,3.78,9.65,15.78,10.96,9.8,15.76,13.03,13.13,10.68,13.46,5.26,8.66,1.9,9.35,11.53,10.89,16.41,9.67,15.32,8.04,13.03,17.38,7.44,12.26,8.68,14.27,3.08,17.44,7.29,12.8,5.92,15.55,7.39,10.68,11.56
4,5.56,5.52,0.8,999.0,9.17,10.38,11.6,14.07,11.93,12.31,13.65,8.0,11.3,13.86,12.46,15.61,15.25,11.93,7.55,15.9,14.98,17.8,14.34,9.55,12.63,2.62,9.19,7.49,8.91,6.71,15.57,8.59,12.68,2.73,10.39,8.01,11.81,8.97,10.53,16.78,13.2,6.99,14.53,6.76,10.83,8.77,15.49,16.51,8.21,12.49,10.61,3.78,5.28,15.37,9.55,3.74,5.98,6.98,11.15,16.14,3.86,13.83,13.72,2.92,0.97,3.1,9.02,15.47,10.49,9.4,15.54,12.63,13.38,10.61,13.16,4.99,9.01,2.45,10.02,11.16,11.31,16.11,9.21,15.19,8.2,12.63,17.85,7.03,11.86,8.23,13.88,3.33,17.12,6.75,12.64,5.17,16.16,8.09,10.61,12.15
5,6.2,14.49,9.73,9.17,999.0,8.67,9.69,18.27,13.04,12.0,4.74,17.17,4.34,5.6,7.42,19.09,7.71,8.76,2.25,17.47,12.77,19.65,6.73,12.24,4.33,10.27,18.12,1.73,17.96,14.88,12.73,0.6,4.53,8.0,17.01,6.61,14.84,6.42,6.98,9.57,12.51,3.91,6.35,10.9,5.55,2.17,12.89,18.74,17.28,9.72,6.93,8.55,7.09,7.41,12.24,5.51,13.5,2.27,12.92,11.82,11.59,17.0,12.4,10.29,8.22,6.18,1.27,7.64,1.9,2.37,8.64,4.33,12.31,6.93,5.82,5.24,10.5,11.6,14.86,3.61,20.41,8.43,1.58,9.28,16.83,4.33,18.55,2.95,3.69,1.83,5.51,8.46,9.08,2.44,6.98,5.11,18.94,13.69,6.93,15.4
6,12.07,15.33,10.28,10.38,8.67,999.0,1.27,10.73,4.67,3.34,9.57,16.75,5.83,8.3,3.78,11.09,7.98,1.86,6.87,8.9,4.77,11.07,7.55,5.13,7.83,9.14,18.73,8.65,18.21,12.0,5.22,8.64,7.64,7.66,20.73,2.66,7.15,2.3,2.09,8.62,3.86,10.98,8.52,5.95,3.97,6.5,5.19,10.27,17.51,2.14,2.22,6.84,5.11,8.65,5.13,8.05,10.31,8.74,4.91,5.91,9.61,9.05,3.89,8.9,9.67,9.49,9.8,8.51,7.85,6.45,7.38,7.83,3.73,2.22,6.65,6.24,3.37,11.8,8.49,6.54,20.21,8.75,7.16,6.12,18.19,7.83,9.88,6.46,7.42,6.94,8.49,7.22,9.99,7.93,4.5,10.67,10.65,8.44,2.22,7.74
7,13.32,16.46,11.47,11.6,9.69,1.27,999.0,10.57,4.3,2.6,10.09,17.76,6.45,8.66,3.82,10.72,7.98,1.51,8.0,8.17,3.5,10.32,7.7,5.43,8.36,10.26,19.81,9.79,19.26,12.84,3.97,9.71,8.14,8.87,21.97,3.93,7.05,3.46,2.78,8.34,2.87,12.17,8.77,6.77,4.59,7.52,3.92,9.64,18.57,1.16,2.86,8.0,6.34,8.74,5.43,9.32,11.16,9.91,4.79,4.9,10.63,8.75,2.73,10.0,10.91,10.76,10.85,8.55,8.7,7.39,7.17,8.36,2.63,2.86,6.95,7.51,3.91,12.94,8.8,7.23,21.21,8.67,8.14,5.69,19.33,8.36,8.93,7.63,8.05,8.01,8.86,8.4,9.91,9.11,4.62,11.92,10.12,9.02,2.86,7.62
8,18.8,15.84,13.4,14.07,18.27,10.73,10.57,999.0,6.31,8.2,20.22,15.13,16.47,19.04,14.37,1.86,18.55,12.09,16.05,4.98,10.79,5.39,18.24,6.04,18.5,11.47,17.7,17.51,16.91,9.62,11.82,18.01,18.33,12.29,22.86,11.79,3.59,12.35,12.81,18.81,8.56,18.96,19.25,7.83,14.65,16.3,11.45,4.14,16.43,11.53,12.94,11.09,11.52,19.3,6.04,14.7,8.9,17.32,5.83,14.13,10.49,2.06,9.43,11.16,14.11,15.6,19.08,19.12,18.05,16.5,17.7,18.5,9.09,12.94,17.38,13.62,7.86,13.46,4.05,17.09,17.75,19.24,17.04,16.1,18.25,18.5,7.09,15.4,18.01,16.44,19.22,11.48,20.47,16.54,15.15,17.74,3.13,6.02,12.94,3.0
9,15.23,15.75,11.52,11.93,13.04,4.67,4.3,6.31,999.0,1.93,14.23,16.29,10.5,12.9,8.11,6.44,12.26,5.81,11.0,4.48,4.99,6.66,11.99,2.68,12.49,9.82,18.64,12.69,17.97,10.78,6.01,12.91,12.3,9.38,22.11,6.46,2.91,6.67,6.75,12.5,2.51,14.68,13.05,5.4,8.63,10.91,5.69,5.7,17.34,5.22,6.87,8.19,7.47,13.03,2.68,10.94,9.27,12.65,1.01,8.08,9.6,4.45,3.43,9.5,11.54,12.2,14.05,12.85,12.43,10.96,11.39,12.49,3.03,6.87,11.21,9.37,3.03,12.48,5.34,11.21,19.55,12.94,11.61,9.8,18.55,12.49,6.04,10.45,12.09,11.22,13.1,8.65,14.17,11.82,8.91,13.94,5.99,6.35,6.87,3.44
10,14.94,16.61,12.02,12.31,12.0,3.34,2.6,8.2,1.93,999.0,12.69,17.47,9.02,11.25,6.37,8.18,10.45,4.06,10.13,5.6,3.28,7.76,10.25,4.04,10.96,10.49,19.7,11.89,19.09,12.13,4.24,11.95,10.74,9.63,22.66,5.67,4.84,5.59,5.3,10.61,0.91,14.1,11.34,6.31,7.15,9.84,3.96,7.04,18.42,3.36,5.4,8.54,7.37,11.25,4.04,10.72,10.53,11.93,2.75,6.18,10.51,6.28,1.7,10.19,11.78,12.09,13.11,11.05,11.17,9.79,9.52,10.96,1.28,5.4,9.54,9.01,3.4,13.2,7.11,9.79,20.81,11.1,10.5,7.9,19.46,10.96,6.56,9.66,10.63,10.25,11.46,8.98,12.31,11.1,7.18,13.58,7.53,7.85,5.4,5.37
