colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
JARDINES DEL COUNTRY,ENRIQUE DIAZ DE,2336,44210,Guadalajara,JARDINES DEL COUNTRY ENRIQUE DIAZ DE 2336 44210 Guadalajara,20.7070511,-103.3601728
"FRACC, LOS MOLINOS",PLATA,70,45200,zapopan,"FRACC, LOS MOLINOS PLATA 70 45200 zapopan",20.8193378,-103.4428879
RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,RESIDENCIAL LA CRUZ ISLA ABACO 3086 44950 Guadalajara,20.6372977,-103.3783132
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,HOGARES GUADALAJARA CIRCUNVALACION 258 44340 Guadalajara,20.689097,-103.3284089
GUADALUPANA,CELEDONIO PADIL,2162,44220,Guadalajara,GUADALUPANA CELEDONIO PADIL 2162 44220 Guadalajara,20.7099659,-103.3553481
INDEPENDENCIA,ROGELIO BACON,2280,44290,Guadalajara,INDEPENDENCIA ROGELIO BACON 2280 44290 Guadalajara,20.7113239,-103.3320885
EJIDAL LOMA BONITA,PEDRO MORENO,3308,45085,zapopan,EJIDAL LOMA BONITA PEDRO MORENO 3308 45085 zapopan,20.6306388,-103.4035
CIUDAD GRANJA,CALZ DE LOS LA,164,45010,zapopan,CIUDAD GRANJA CALZ DE LOS LA 164 45010 zapopan,20.6782083,-103.4482868
BOSQUES D L VICTORIA,PENINSULA,2713,44540,Guadalajara,BOSQUES D L VICTORIA PENINSULA 2713 44540 Guadalajara,20.6463741,-103.3890559
VICENTE GUERRERO,C CEDROS,15,45134,zapopan,VICENTE GUERRERO C CEDROS 15 45134 zapopan,20.76045,-103.4237244
BARRIO ANALCO,ABASOLO,147,44450,Guadalajara,BARRIO ANALCO ABASOLO 147 44450 Guadalajara,20.6696675,-103.3354279
LA MARTINICA,PASEO DE LOS AL,79,45185,zapopan,LA MARTINICA PASEO DE LOS AL 79 45185 zapopan,20.7452389,-103.3666709
BLANCO Y CUELLAR,EMILIO RABAZA,2132,44730,Guadalajara,BLANCO Y CUELLAR EMILIO RABAZA 2132 44730 Guadalajara,20.6795279,-103.3046447
OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,OBLATOS PONIENTE JUAN PABLO II 3165 44700 Guadalajara,20.6958496,-103.2980962
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,PARAISOS DEL COLLY GALEANA 1068 45069 zapopan,20.6508689,-103.4549679
SAN RAFAEL,CARLOS GONZALEZ,280,44810,Guadalajara,SAN RAFAEL CARLOS GONZALEZ 280 44810 Guadalajara,20.6570889,-103.2966814
SAN CARLOS,LOS ANGELES,171,44460,Guadalajara,SAN CARLOS LOS ANGELES 171 44460 Guadalajara,20.6751707,-103.3473385
LOMAS DE RIO VERDE,DEMOSTENES,3550,44720,Guadalajara,LOMAS DE RIO VERDE DEMOSTENES 3550 44720 Guadalajara,20.6993366,-103.2814995
LINDAVISTA,ALLENDE,216,45169,zapopan,LINDAVISTA ALLENDE 216 45169 zapopan,20.7225403,-103.3986393
VILLA FONTANA DIAMANTE,AV JADE,86,45200,zapopan,VILLA FONTANA DIAMANTE AV JADE 86 45200 zapopan,20.779509,-103.4714865
OBLATOS PONIENTE,HDA LAS CRUCES,2158,44700,Guadalajara,OBLATOS PONIENTE HDA LAS CRUCES 2158 44700 Guadalajara,20.693503,-103.2990589
FRACC PALERMO,MARINA,204,45200,zapopan,FRACC PALERMO MARINA 204 45200 zapopan,20.8167636,-103.4619374
COLLY SITIO,ROMANA,6570,45036,zapopan,COLLY SITIO ROMANA 6570 45036 zapopan,20.6536811,-103.4399784
PRADOS TEPEYAC,PRADO DE LAS RO,308,45050,zapopan,PRADOS TEPEYAC PRADO DE LAS RO 308 45050 zapopan,20.6569105,-103.4128895
EL BATAN,ANDADOR AGUA AZ,44,45190,zapopan,EL BATAN ANDADOR AGUA AZ 44 45190 zapopan,20.7221877,-103.3438725
SAN VICENTE,PUERTO SOTO LA,2280,44330,Guadalajara,SAN VICENTE PUERTO SOTO LA 2280 44330 Guadalajara,20.6751707,-103.3473385
ARENALES TAPATIOS,CROMITA,69,45066,zapopan,ARENALES TAPATIOS CROMITA 69 45066 zapopan,20.6333153,-103.4591793
2024-05-05 00:00:00,RAMON MARQUEZ,362,44970,Guadalajara,45417 RAMON MARQUEZ 362 44970 Guadalajara,20.6248572,-103.3530714
LOMAS DEL CENTINELA,PASEO DEL OLMO,328,45187,zapopan,LOMAS DEL CENTINELA PASEO DEL OLMO 328 45187 zapopan,20.7553743,-103.3793921
JARDINES DE LA CRUZ,AV ISALA RAZA,2460,44950,Guadalajara,JARDINES DE LA CRUZ AV ISALA RAZA 2460 44950 Guadalajara,20.6349829,-103.3912074
HUENTITAN EL BAJO,VOLCAN FUJIYAMA,4413,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN FUJIYAMA 4413 44250 Guadalajara,20.7390409,-103.3189799
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,U H EL ZALATE JOSE FERNANDEZ 1123 44760 Guadalajara,20.6790639,-103.2732636
VISTA HERMOSA,AV VISTA HERMO,3763,45189,zapopan,VISTA HERMOSA AV VISTA HERMO 3763 45189 zapopan,20.7617597,-103.3348175
EL COLLY URBANO I,MELCHOR OCAMPO,1233,45070,zapopan,EL COLLY URBANO I MELCHOR OCAMPO 1233 45070 zapopan,20.6431926,-103.4295033
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,TALPITA SANTO TOMAS 1786 44719 Guadalajara,20.6835307,-103.3103183
SAN JUAN BOSCO,FELIX BERNARDEL,428,44730,Guadalajara,SAN JUAN BOSCO FELIX BERNARDEL 428 44730 Guadalajara,20.6792166,-103.3146951
PASEOS DEL SOL,TOMAS BALCAZAR,5404,45079,zapopan,PASEOS DEL SOL TOMAS BALCAZAR 5404 45079 zapopan,20.6371278,-103.4270208
DIVISION DEL NORTE,TERUEL,3693,44230,Guadalajara,DIVISION DEL NORTE TERUEL 3693 44230 Guadalajara,20.6751707,-103.3473385
VILLA DE GUADALUPE II,PABLO HIPOLITO,45,45189,zapopan,VILLA DE GUADALUPE II PABLO HIPOLITO 45 45189 zapopan,20.7578506,-103.3409918
LAGOS D OTE ZONA TET,LICURGO,336,44770,Guadalajara,LAGOS D OTE ZONA TET LICURGO 336 44770 Guadalajara,20.6751707,-103.3473385
MESA DE LOS OCOTES,PASEO DE LOS PI,3153,45189,zapopan,MESA DE LOS OCOTES PASEO DE LOS PI 3153 45189 zapopan,20.7632265,-103.3515091
MESA COLORADA PTE,ANAHUAC,52,45189,zapopan,MESA COLORADA PTE ANAHUAC 52 45189 zapopan,20.7758971,-103.3514666
HDA SAN ISIDRO,LA VILLA,455,45147,zapopan,HDA SAN ISIDRO LA VILLA 455 45147 zapopan,20.6719563,-103.416501
CANTARRANAS,MIGUEL BERNAL,3327,44829,Guadalajara,CANTARRANAS MIGUEL BERNAL 3327 44829 Guadalajara,20.6588519,-103.2912823
