colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
BUGAMBILIAS,PASEO DE LA VIC,4952,45238,zapopan,BUGAMBILIAS PASEO DE LA VIC 4952 45238 zapopan,20.6024902,-103.4469054
BEATRIZ HERNANDEZ,GAZA,1333,44760,Guadalajara,BEATRIZ HERNANDEZ GAZA 1333 44760 Guadalajara,20.6810198,-103.2866783
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,zapopan,COLINAS DEL REY AV TORREMOLINOS 3500 45130 zapopan,20.7529511,-103.4073257
VALENTIN GOMEZ FARIA,CANUTO ELIAS,3414,44977,Guadalajara,VALENTIN GOMEZ FARIA CANUTO ELIAS 3414 44977 Guadalajara,20.6191343,-103.3630249
MORELOS,PELICANO,1272,44910,Guadalajara,MORELOS PELICANO 1272 44910 Guadalajara,20.6508209,-103.361163
UNIDAD MEXICO,CDA QUERETARO,278,45120,zapopan,UNIDAD MEXICO CDA QUERETARO 278 45120 zapopan,20.6719563,-103.416501
HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,HELIODORO HERNANDEZ CELIA PACHECO 3713 44720 Guadalajara,20.6963895,-103.2787599
IXTLAHUACAN DEL RIO,HDA SAN MIGUEL,10,45260,zapopan,IXTLAHUACAN DEL RIO HDA SAN MIGUEL 10 45260 zapopan,20.8692661,-103.2355813
OBLATOS,BATALLA DE IZUC,2508,44700,Guadalajara,OBLATOS BATALLA DE IZUC 2508 44700 Guadalajara,20.6747187,-103.3255216
MESA COLORADA PTE,ANAHUAC,52,45189,zapopan,MESA COLORADA PTE ANAHUAC 52 45189 zapopan,20.7758971,-103.3514666
FRACC CUSPIDE,SAN MATEO 1155,27,45200,zapopan,FRACC CUSPIDE SAN MATEO 1155 27 45200 zapopan,20.7943709,-103.4676263
LOMAS DEL CENTINELA,PASEO DEL OLMO,328,45187,zapopan,LOMAS DEL CENTINELA PASEO DEL OLMO 328 45187 zapopan,20.7553743,-103.3793921
HUENTITAN EL BAJO,VOLCAN FUJIYAMA,4413,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN FUJIYAMA 4413 44250 Guadalajara,20.7390409,-103.3189799
VILLA FONTANA DIAMANTE,ARENISCA,1896,45200,zapopan,VILLA FONTANA DIAMANTE ARENISCA 1896 45200 zapopan,20.7769516,-103.4712628
2024-03-18 00:00:00,FAJA DE ORO,1783,44960,Guadalajara,45369 FAJA DE ORO 1783 44960 Guadalajara,20.6350171,-103.3781856
ZONA INDUSTRIAL SUR,CALLE 16,2526,44940,Guadalajara,ZONA INDUSTRIAL SUR CALLE 16 2526 44940 Guadalajara,20.6293229,-103.3551189
REAL DE TESISTAN,PASEO DE LA ARB,176,45200,zapopan,REAL DE TESISTAN PASEO DE LA ARB 176 45200 zapopan,20.7826297,-103.4722075
BOSQUES D L VICTORIA,FAUNA,2765,44540,Guadalajara,BOSQUES D L VICTORIA FAUNA 2765 44540 Guadalajara,20.6463741,-103.3890559
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,PROGRESO FRANCISCO SARAB 235 44730 Guadalajara,20.6751707,-103.3473385
ARENALES TAPATIOS,AV GUADALUPE,132,45066,zapopan,ARENALES TAPATIOS AV GUADALUPE 132 45066 zapopan,20.6667157,-103.3938876
JARDINES DEL NILO,MANUEL RIVERA C,2818,44860,Guadalajara,JARDINES DEL NILO MANUEL RIVERA C 2818 44860 Guadalajara,20.6492259,-103.287272
NUEVO MEXICO,2024-01-06 00:00:00,3239,45138,zapopan,NUEVO MEXICO 45297 3239 45138 zapopan,20.7690198,-103.4539176
HIGUERILLAS,MARIANO RODRIGU,2669,44470,Guadalajara,HIGUERILLAS MARIANO RODRIGU 2669 44470 Guadalajara,20.6327983,-103.3489234
LA ESPERANZA,IGUALDAD,186,44300,Guadalajara,LA ESPERANZA IGUALDAD 186 44300 Guadalajara,20.7124734,-103.309643
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,U H EL ZALATE JOSE FERNANDEZ 1123 44760 Guadalajara,20.6790639,-103.2732636
REAL DE TESISTAN,PRIVADA EMILIAN,28,45200,zapopan,REAL DE TESISTAN PRIVADA EMILIAN 28 45200 zapopan,20.7985849,-103.4734126
LA VENTA DEL ASTILLE,JILGEROS,33,45221,zapopan,LA VENTA DEL ASTILLE JILGEROS 33 45221 zapopan,20.72564,-103.5462189
LA HACIENDITA,SAN MARTIN,2341,45230,zapopan,LA HACIENDITA SAN MARTIN 2341 45230 zapopan,20.6147624,-103.4475643
MESA COLORADA PTE,NABO,543,45189,zapopan,MESA COLORADA PTE NABO 543 45189 zapopan,20.7630106,-103.346334
EL BRISE?,PASEO DE LA MAT,200,45236,zapopan,EL BRISE? PASEO DE LA MAT 200 45236 zapopan,20.6193793,-103.4352826
CANTEROS,PRIVADA CANTERO,1564,45190,zapopan,CANTEROS PRIVADA CANTERO 1564 45190 zapopan,20.7209881,-103.3500652
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN MAIPO 340 44250 Guadalajara,20.7418207,-103.3153473
EL BATAN,ALCALDE,288,45190,zapopan,EL BATAN ALCALDE 288 45190 zapopan,20.7221151,-103.3450117
SAN MARCOS,CANTERA,819,44330,Guadalajara,SAN MARCOS CANTERA 819 44330 Guadalajara,20.698316,-103.3132516
REAL QUINTAS DEL VALLE,CIRCUITO REAL S,0,45138,zapopan,REAL QUINTAS DEL VALLE CIRCUITO REAL S 0 45138 zapopan,20.7531957,-103.4360243
DIVISION DL NTE ZAP,FRANCISCO VILLA,27,45180,zapopan,DIVISION DL NTE ZAP FRANCISCO VILLA 27 45180 zapopan,20.7361467,-103.3527111
JARDINES DEL COUNTRY,ENRIQUE DIAZ DE,2336,44210,Guadalajara,JARDINES DEL COUNTRY ENRIQUE DIAZ DE 2336 44210 Guadalajara,20.7070511,-103.3601728
GARIBAY,DAMASCO,785,44750,Guadalajara,GARIBAY DAMASCO 785 44750 Guadalajara,20.6736568,-103.295105
FRACC REAL DEL BOSQUE,CALLE CAMPO REA,371,45130,zapopan,FRACC REAL DEL BOSQUE CALLE CAMPO REA 371 45130 zapopan,20.7521489,-103.3924863
JARDINES DE LA PAZ,TEJEDORES,569,44860,Guadalajara,JARDINES DE LA PAZ TEJEDORES 569 44860 Guadalajara,20.6456144,-103.3027032
LINDAVISTA,ALLENDE,216,45169,zapopan,LINDAVISTA ALLENDE 216 45169 zapopan,20.7225403,-103.3986393
UNIDAD JARDINES SEAT,JARDINES DE LOS,1233,45180,zapopan,UNIDAD JARDINES SEAT JARDINES DE LOS 1233 45180 zapopan,20.7361467,-103.3527111
SAN RAFAEL,CARLOS GONZALEZ,280,44810,Guadalajara,SAN RAFAEL CARLOS GONZALEZ 280 44810 Guadalajara,20.6570889,-103.2966814
JARDINES DEL VERGEL,JARDIN DE NARDO,1527,45180,zapopan,JARDINES DEL VERGEL JARDIN DE NARDO 1527 45180 zapopan,20.7536599,-103.3710032
LOMAS DEL PARADERO,LUIS QUINTANAR,746,44840,Guadalajara,LOMAS DEL PARADERO LUIS QUINTANAR 746 44840 Guadalajara,20.6501203,-103.3200361
LA FLORESTA DEL COLLI,BOULEVARD PUERT,26,45116,zapopan,LA FLORESTA DEL COLLI BOULEVARD PUERT 26 45116 zapopan,20.6467406,-103.4677957
TABACHINES,PASEO DE LOS CH,3040,45188,zapopan,TABACHINES PASEO DE LOS CH 3040 45188 zapopan,20.7408232,-103.3687889
MIRAMAR,BAHIA MAGDALENA,5,45060,zapopan,MIRAMAR BAHIA MAGDALENA 5 45060 zapopan,20.6407578,-103.4490409
BOSQUE ESCONDIDO,PASEO DE LOS AL,10,45180,zapopan,BOSQUE ESCONDIDO PASEO DE LOS AL 10 45180 zapopan,20.7355316,-103.3554799
VILLA UNIVESITARIA,AV PATRIA,1446,45110,zapopan,VILLA UNIVESITARIA AV PATRIA 1446 45110 zapopan,20.6973658,-103.4155417
