colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
REAL DE VALDEPE?S,RINCONADA DEL C,1327,45130,zapopan,REAL DE VALDEPE?S RINCONADA DEL C 1327 45130 zapopan,20.756436,-103.400611
VIRREYES RESIDENCIAL,AV NACIONES UNI,6904,45110,zapopan,VIRREYES RESIDENCIAL AV NACIONES UNI 6904 45110 zapopan,20.6956146,-103.4430714
VALLE REAL,AV RAMON CORONA,2748,45019,zapopan,VALLE REAL AV RAMON CORONA 2748 45019 zapopan,20.7328089,-103.4599375
LA PERLA,PEDRO LANDAZURI,733,44360,Guadalajara,LA PERLA PEDRO LANDAZURI 733 44360 Guadalajara,20.6828464,-103.3325044
TETLAN,AURELIA GUEVARA,3518,44820,Guadalajara,TETLAN AURELIA GUEVARA 3518 44820 Guadalajara,20.6554278,-103.2889519
VISTA HERMOSA,VISTA BONITA,739,45189,zapopan,VISTA HERMOSA VISTA BONITA 739 45189 zapopan,20.7619353,-103.3337076
REAL DE VALDEPE?S,ALAMBIQUE,51,45130,zapopan,REAL DE VALDEPE?S ALAMBIQUE 51 45130 zapopan,20.7561115,-103.4015168
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,PROGRESO FRANCISCO SARAB 235 44730 Guadalajara,20.6751707,-103.3473385
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN MAIPO 340 44250 Guadalajara,20.7418207,-103.3153473
HDA SAN ISIDRO,LA VILLA,455,45147,zapopan,HDA SAN ISIDRO LA VILLA 455 45147 zapopan,20.6719563,-103.416501
JARDINES DEL NILO,MANUEL RIVERA C,2818,44860,Guadalajara,JARDINES DEL NILO MANUEL RIVERA C 2818 44860 Guadalajara,20.6492259,-103.287272
COLLY SITIO,ROMANA,6570,45036,zapopan,COLLY SITIO ROMANA 6570 45036 zapopan,20.6536811,-103.4399784
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,U H FOVISSSTE ESTADI LISBOA 28 44307 Guadalajara,20.7105563,-103.3247998
LOMAS DE MIRAMAR,PUERTO TAMPICO,80,45060,zapopan,LOMAS DE MIRAMAR PUERTO TAMPICO 80 45060 zapopan,20.6401759,-103.4491199
UNIDAD MEXICO,CDA QUERETARO,278,45120,zapopan,UNIDAD MEXICO CDA QUERETARO 278 45120 zapopan,20.6719563,-103.416501
