colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
VICENTE GUERRERO,C CEDROS,15,45134,zapopan,VICENTE GUERRERO C CEDROS 15 45134 zapopan,20.76045,-103.4237244
ARANDAS,HACIENDA LA ERR,1877,44720,Guadalajara,ARANDAS HACIENDA LA ERR 1877 44720 Guadalajara,20.6886638,-103.2887465
BOSQUES D L VICTORIA,PENINSULA,2713,44540,Guadalajara,BOSQUES D L VICTORIA PENINSULA 2713 44540 Guadalajara,20.6463741,-103.3890559
VIGIA I,HERRADURA,242,45140,zapopan,VIGIA I HERRADURA 242 45140 zapopan,20.7327359,-103.3937991
CANTARRANAS,MIGUEL BERNAL,3327,44829,Guadalajara,CANTARRANAS MIGUEL BERNAL 3327 44829 Guadalajara,20.6588519,-103.2912823
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,U H EL ZALATE JOSE FERNANDEZ 1123 44760 Guadalajara,20.6790639,-103.2732636
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,LADRON DE GUEVARA AVENIDA MEXICO 2582 44600 Guadalajara,20.6800329,-103.3822859
SANTA FE,EMILIANO ZAPATA,574,45168,zapopan,SANTA FE EMILIANO ZAPATA 574 45168 zapopan,20.7154469,-103.3926668
CIUDAD GRANJA,CALZ DE LOS LA,164,45010,zapopan,CIUDAD GRANJA CALZ DE LOS LA 164 45010 zapopan,20.6782083,-103.4482868
ZONA INDUSTRIAL SUR,CALLE 16,2526,44940,Guadalajara,ZONA INDUSTRIAL SUR CALLE 16 2526 44940 Guadalajara,20.6293229,-103.3551189
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,zapopan,COLINAS DEL REY AV TORREMOLINOS 3500 45130 zapopan,20.7529511,-103.4073257
INDIGENA D MEZQUITAN,2024-03-18 00:00:00,409,45190,zapopan,INDIGENA D MEZQUITAN 45369 409 45190 zapopan,20.7385264,-103.3312962
RESIDENC LA ESTANCIA,WOLFANG AMADEUS,5552,45030,zapopan,RESIDENC LA ESTANCIA WOLFANG AMADEUS 5552 45030 zapopan,20.6733758,-103.4280012
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,TALPITA SANTO TOMAS 1786 44719 Guadalajara,20.6835307,-103.3103183
